id,endTime,ticket,startedAt,numberOfBets,payout,serverSeed
221c027a-60cf-4be4-8776-3ab17f14b5dc,1702227134236,216,1702227121400,1,218,9a74ad9293e62d6ee34cee48eff3c99f270c6ec452f25da205db9c3b48418992
26fd190f-0827-441a-ae7a-8082e165fd62,1702227114074,220,1702227100933,0,0,bee8bfb448a60be55628c69d4a7ab7f261380f52f27814196a9ae7885c0a0f94
2ea630cb-21c3-4ff0-a9da-98a89c23fdab,1702227093685,286,1702227076171,0,0,ee9f6b6253e2875b618afeb097a6eca4a79cb600330b2623050e4fc1283f5939
3cb84997-6afc-4d3d-8583-10358450d1c1,1702227069011,138,1702227063642,0,0,0de5288bed546bbc88ca6afe32c3b5c1fe1891874acb4578acb35009dfa2220e
9f63cc20-582b-4882-bd5c-14a3d55c6add,1702227056544,223,1702227043177,0,0,52af0476d3bf783f06885622df308f77e17db2dc6ec62e6cce0476e44089acc9
5e254eaf-e7d0-499e-8ec6-dbd1e83310ba,1702227036128,161,1702227028190,0,0,99cc4276e405b7b6e06845e27bebb13779797eb6f4dedfb9fcce53e2f9b1c771
8ab15a07-7d87-4d24-9c54-8660c49aa775,1702227020994,252,1702227005589,0,0,616db08c797199df84cd10fba8437f19ce40008fa44e48863f907c3b09d87d29
c2280ff6-8655-4dc9-a08a-449f276c6ad9,1702226998481,1403,1702226954461,2,193,24fe1db0142063c6db6d02f94fcd15c8efca67c9c35875ee3308329dbf51b25d
e9b022ae-ad43-4dcc-ad75-43537eb9e60b,1702226947281,238,1702226932829,2,205,817c62eb69bc3d962185f6766131b69e8804531911c7bedec55605003c94c274
6dd80cc9-bc9b-45e1-9835-6f18da1f8ca3,1702226925497,180,1702226915700,0,0,9f53905392254cbce24cc2b0502b3010da85e97b2c02e90c078ca1bdf7b9499f
cc7d2f34-deb4-4364-93f7-cd0307ce1da5,1702226908404,130,1702226904031,0,0,9447fc812968a85e83e17649b4452538d4b8c015ff57be3989f23208e38bacc7
14d9532d-0eaf-4b19-8c6d-536d2f2eae05,1702226896722,123,1702226893271,0,0,0c567b6db9d1598f4cf412ca0b831b7c2d5f4a2d1dbf6b56f42f213e8dd0c056
33fbe738-befa-43e8-8bdb-388f0efe5c06,1702226886131,111,1702226884391,0,0,fa32a2c53a1b76a78eca9cf9995d2aa9271fda2b9d24bdb468685bec4d35036e
5966b4b3-bb39-476d-b7be-5766ee1e1cb5,1702226877325,100,1702226877325,0,0,07d698253cc2ec1153518fe40fcb5ea44297d43fca486448b53f0839df7b8b3d
4a57ab0f-af67-403f-bb41-dd4ebdff6bf7,1702226870108,423,1702226846071,1,32240,0921eabe404e1013af0d0a04428196f0e323cbe633e92ca935e347b7a3495df1
e26e0640-7bdf-4b59-b3bf-ee3c50276a85,1702226838997,100,1702226838997,0,0,4a5fb1f3b5411586157a94cbe02faa1b8076fbfe37861c61b443a49dd888e56d
dba262a2-697e-4237-a6ab-858d5145bf75,1702226831817,214,1702226819136,0,0,8694ab712679b0d3783fe6b4f9c5bd0f06c89af7614f08f9ed6e981b46b5237d
82e2798a-7a0f-4840-8556-d80becd44f0b,1702226811979,105,1702226811165,0,0,5dc302e698c2fff22d1c78e786079dc1a0ebca79db4619125e9a68456a56dd39
632d6b12-1ab9-45ee-8e23-86d3bb49a933,1702226803937,281,1702226786717,0,0,ed68e5ed3867d1572af12b8dd60edae3a22da2c29f5ae059d2e381ae4897178f
dd4242b9-b105-41d6-85b9-debcb7fecd67,1702226779566,109,1702226778129,1,0,a51246a650e48639fb0ba1d583fc1edaad4a7b0b6d0a07602e6b27ce211a2af0
6de19e8d-5c3a-40d2-8d84-b62059aa174e,1702226770980,2148,1702226719861,1,0,f08c3237fb9a1d7601b6219c5f169d5b7dacd50c24dc5eb50ba4665324d36520
1f5d5732-91eb-49e0-aa06-e9a586c028d4,1702226712611,195,1702226701480,2,0,f6fb482cd519e612d9b75cb7d5d3373720b4c6ccedcc72988cbd3c358d635120
2f35b64b-3213-4d3b-97f9-b843169d831f,1702226694320,109,1702226692883,1,0,657455fcbb2ee0c093c763cd14fd723db4011a18bc8898592a5fe7ed7a963612
33782e6c-3d37-4134-b4b6-6815b33e7ad7,1702226685823,100,1702226685823,0,0,75308b8423179195e77241c20c252f3a6b69b61681aba329c70d23da10d0d590
b744091b-bf77-4f03-85a9-46347690a63f,1702226678601,103,1702226678108,2,0,8a76070f38349563c98e29786850fbfcdb5af4736dd3df7250d00b0702786646
0137e3ab-08da-4f5e-afc0-a38fca04f172,1702226670915,1292,1702226628268,3,10278,725f3f4c5ea6835e170a0530d4fbe0110214bbfc45852b8a4ebbc69cb8c98046
cd98ec34-450e-4d2c-a4b0-32a2cb843740,1702226621040,819,1702226585991,2,16066,0d695a6ab72ded313a32ce627e3756a3bd7874aa540de8f4d24f285f14b807f4
1b1489c5-1dd6-43af-902e-2fb881e83e19,1702226578782,107,1702226577654,2,0,41aa4c8229084aad7ed6cc9444639ce0c3312b62281ea079789c2ba0f4e38e09
6131d3dd-22ad-4367-bfa4-73e21625cfde,1702226570481,186,1702226560138,3,3560,1c4f2a690424ef720e99237ccc5db203edbe67d6779109225e7c7d698a1be4d3
9de69162-d75a-48a1-9063-8ba1ddbb3582,1702226552802,414,1702226529123,4,3965,20b97847224ab442a4956c3b100b7265f5f29b15423f8f73ebacfb4f76b1d3f1
9b7d3f63-03a6-41ec-89d5-63db222e7f9c,1702226521783,1638,1702226475181,0,0,f7c806793db18e51979c33cb229cf11f157ceda76477d4255554882ac0a1cfb9
f4752508-930a-4f8f-81bb-b2b2beb7adde,1702226467858,106,1702226466886,1,0,f92195d77e41be0a2c50c2e04029edf92d4d5d4d116463e495281e2bc5c19d45
f807462e-4c6d-4086-9a3b-176e86cbc1a8,1702226459818,994,1702226421541,1,1130,310edc1b7b729e7236f1fbd6875b8a45f03bb51eaac04819e635d6aeb8fd90d0
99ca8647-a11b-4cf9-a490-5b9ae0f284d0,1702226414423,211,1702226401978,0,0,ac1eff4a10d2389c6c68d4f0e1a76a9a584158f6f98cc5ba7eeeda77202d3faa
e1aeea03-28cc-4be9-b38d-42d8b960f0c9,1702226394882,118,1702226392123,0,0,c7bf1b7cfb2364eb60ab9997bef5a4926a7d9368eaf5162f60a8d68d4af6500e
c5af1206-f1fc-4f8f-8ba5-93da27e8910f,1702226384837,137,1702226379590,0,0,cf20efd00b525fe9c79dac5e9bfbf168f8870ab98d53f24263e1687b5f5ba2c3
53c02f03-3e4d-4433-aaa7-4d4674fcbabd,1702226372332,103,1702226371839,1,0,9df2128d9aab9e0620894fc8c070ee28783be2727a9214f99c77e4abdd05cfc6
2ca4b893-91df-47b2-8b30-a05012133067,1702226364598,1102,1702226324602,0,0,f4dc2bdbe3ad7b29b0d74f703afb62c08d1dab253955774608d3c4c378bba279
aacc1b14-7acf-4d54-afcd-c2288f0ed706,1702226317291,216,1702226304455,0,0,4181afb3b82b20a18701575d85721b8f11fc2b9fe2290905b9a5ad74875236c9
64c70b4f-222d-4b31-ba66-6037cceb59a7,1702226297317,109,1702226295880,0,0,7f2580249fc365ddf807dbeb18123d7e555a8a28926d906b7294fcc7d246c31c
